Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
18255654,Hobing Korean Dessert Cafe,162,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City",121.045878,14.55436,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118
6308205,Wildflour Cafe + Bakery,162,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Bonifacio Global City, Taguig City",121.04622,14.549337,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392
6315438,NIU by Vikings,162,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.053725,14.545858,"Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535
6310406,The Food Hall by Todd English,162,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.0534998,14.54565535,"American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618
6600681,Chez Michou,30,BrasÌ_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, BrasÌ_lia",Asa Norte,"Asa Norte, BrasÌ_lia",-47.88178889,-15.76414167,"Fast Food, French",55,Brazilian Real(R$),No,No,No,No,2,3,Orange,Average,6
6601005,CafÌ© Daniel Briand,30,BrasÌ_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, BrasÌ_lia",Asa Norte,"Asa Norte, BrasÌ_lia",-47.88266667,-15.7775,Cafe,30,Brazilian Real(R$),No,No,No,No,1,3.8,Yellow,Good,9
6600292,Casa do Biscoito Mineiro,30,BrasÌ_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, BrasÌ_lia",Asa Norte,"Asa Norte, BrasÌ_lia",-47.88213611,-15.75747222,Bakery,45,Brazilian Real(R$),No,No,No,No,2,3.7,Yellow,Good,11
6600441,Maori,30,BrasÌ_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, BrasÌ_lia",Asa Norte,"Asa Norte, BrasÌ_lia",-47.88816667,-15.75883333,Brazilian,60,Brazilian Real(R$),No,No,No,No,3,3.8,Yellow,Good,11
6600970,Pizza ÌÊ Bessa,30,BrasÌ_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia",-47.91566667,-15.83116667,Pizza,50,Brazilian Real(R$),No,No,No,No,2,3.2,Orange,Average,11
6600379,Sushi Loko,30,BrasÌ_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia",-47.91566667,-15.831,Japanese,80,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,10
6600214,Beirute,30,BrasÌ_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia",-47.9075,-15.82,Arabian,90,Brazilian Real(R$),No,No,No,No,3,3.7,Yellow,Good,8
6601218,New Koto,30,BrasÌ_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia",-47.91016667,-15.82733333,Japanese,200,Brazilian Real(R$),No,No,No,No,4,3.7,Yellow,Good,5
6600060,Sandubas CafÌ©,30,BrasÌ_lia,"EdifÌ_cio JosÌ© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia",-47.89016667,-15.797,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,No,No,1,0,White,Not rated,2
6600083,Villa Tevere,30,BrasÌ_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia",-47.92366667,-15.83133333,Italian,150,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,12
6601515,Rovereto,30,BrasÌ_lia,"Rua 13 Norte, Lote 4, ÌÅguas Claras, BrasÌ_lia",ÌÅguas Claras,"ÌÅguas Claras, BrasÌ_lia",-48.019,-15.83716667,Pizza,100,Brazilian Real(R$),No,No,No,No,4,3.1,Orange,Average,9
6601361,Buena Carne,30,BrasÌ_lia,"Avenida AraucÌÁrias, 1325, Loja 19, ÌÅguas Claras, BrasÌ_lia",ÌÅguas Claras,"ÌÅguas Claras, BrasÌ_lia",-48.01909167,-15.839775,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9
6601602,Taco Pep,30,BrasÌ_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, ÌÄguas Claras, BrasÌ_lia",ÌÅguas Claras,"ÌÅguas Claras, BrasÌ_lia",-48.01666667,-15.83483333,"Mexican, Grill",100,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29
6601589,Coco Bambu,30,BrasÌ_lia,"BrasÌ_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, BrasÌ_lia","BrasÌ_lia Shopping, Asa Norte","BrasÌ_lia Shopping, Asa Norte, BrasÌ_lia",-47.889,-15.7865,International,230,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,17
6601862,TaypÌÁ,30,BrasÌ_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, BrasÌ_lia",Lago Sul,"Lago Sul, BrasÌ_lia",-47.872359,-15.860621,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5
6601595,Outback Steakhouse,30,BrasÌ_lia,"ParkShopping - Piso 2, SAI/SO, ÌÅrea 6580, GuarÌÁ I, BrasÌ_lia","ParkShopping, GuarÌÁ I","ParkShopping, GuarÌÁ I, BrasÌ_lia",-47.95628333,-15.83451389,"American, Grill",150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,10
6601158,ManzuÌÁ,30,BrasÌ_lia,"PontÌ£o Lago Sul, SHIS 10, Lote 9, Lago Sul, BrasÌ_lia","PontÌ£o Lago Sul, Lago Sul","PontÌ£o Lago Sul, Lago Sul, BrasÌ_lia",-47.87283333,-15.82566667,Seafood,240,Brazilian Real(R$),No,No,No,No,4,3.2,Orange,Average,6
6600427,Coco Bambu,30,BrasÌ_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, BrasÌ_lia",Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, BrasÌ_lia",-47.8685,-15.819,International,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30
6600116,Gero,30,BrasÌ_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, BrasÌ_lia","Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, BrasÌ_lia",-47.885812,-15.720118,Italian,350,Brazilian Real(R$),No,No,No,No,4,3.3,Orange,Average,8
6601457,Brazilian American Burgers,30,BrasÌ_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, BrasÌ_lia",Sudoeste,"Sudoeste, BrasÌ_lia",-47.92102778,-15.79753056,"American, Burger",50,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9
7303219,Pesqueiro Eco Gourmet,30,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida LÌ_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",-43.377,-23.0115,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,7
7304307,Confeitaria Colombo,30,Rio de Janeiro,"Rua GonÌ_alves Dias, 32, Centro, Rio de Janeiro",Centro,"Centro, Rio de Janeiro",-43.178826,-22.905293,"Desserts, Cafe",100,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29
7301215,Bibi,30,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.18669167,-22.97207222,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,No,No,3,4.7,Dark Green,Excellent,24
7300596,Cervantes,30,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.17583333,-22.96216667,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29
7300612,Amir,30,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.176,-22.96516667,Lebanese,170,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,11
7300704,TT Burger,30,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",-43.191,-22.98683333,Burger,60,Brazilian Real(R$),No,No,No,No,3,4.8,Dark Green,Excellent,19
7300955,Braseiro da GÌÁvea,30,Rio de Janeiro,"PraÌ_a Santos Dumont, 116, GÌÁvea, Rio de Janeiro",GÌÁvea,"GÌÁvea, Rio de Janeiro",-43.227042,-22.973507,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40
7300521,Balada Mix,30,Rio de Janeiro,"Rua AnÌ_bal de MendonÌ_a, 37, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.211425,-22.98520833,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21
7300515,Garota de Ipanema,30,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.203,-22.98533333,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49
7300483,ZazÌÁ BistrÌ« Tropical,30,Rio de Janeiro,"Rua Joana AngÌ©lica, 40, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.20520833,-22.98531944,Brazilian,170,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,21
7301064,FilÌ© de Ouro,30,Rio de Janeiro,"Rua Jardim BotÌ¢nico, 731, Jardim BotÌ¢nico, Lagoa, Rio de Janeiro",Lagoa,"Lagoa, Rio de Janeiro",-43.219563,-22.966647,Brazilian,90,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,14
7304312,D.O.C Ristorante,30,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das AmÌ©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca","Le Monde, Barra da Tijuca, Rio de Janeiro",-43.34879167,-22.99991111,Italian,150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,5
7300004,Sushi Leblon,30,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",-43.227,-22.98416667,Japanese,250,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,25
7300868,Talho Capixaba,30,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",-43.22566667,-22.98516667,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13
7302637,Leme Light,30,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",-43.17279167,-22.963925,Brazilian,40,Brazilian Real(R$),No,No,No,No,2,4.2,Green,Very Good,7
7302140,Shirley,30,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",-43.17126389,-22.96337222,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,8
7305048,Quiosque Chopp Brahma,30,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,"Madureira, Rio de Janeiro",-43.341164,-22.870413,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,No,No,3,0,White,Not rated,1
7302898,AprazÌ_vel,30,Rio de Janeiro,"Rua AprazÌ_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,"Santa Teresa, Rio de Janeiro",-43.18736944,-22.92481389,Brazilian,300,Brazilian Real(R$),No,No,No,No,4,4.7,Dark Green,Excellent,44
7302859,Aconchego Carioca,30,Rio de Janeiro,"Rua BarÌ£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,"Tijuca, Rio de Janeiro",-43.21551111,-22.91370833,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,24
7301700,Garota de Ipanema,30,pasig City,"Avenida JoÌ£o Alves, 56, Urca, Rio de Janeiro",Urca,"Urca, Rio de Janeiro",-43.16266667,-22.94783333,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,10
6706313,Cantina Famiglia Mancini,30,SÌ£o Paulo,"Rua Avanhandava, 81, Bela Vista, SÌ£o Paulo 10000","Bela Vista, Centro","Bela Vista, Centro, SÌ£o Paulo",-46.64516667,-23.55066667,"Italian, Pizza",250,Brazilian Real(R$),No,No,No,No,4,4.5,Dark Green,Excellent,49
6704326,Templo da Carne - Marcos Bassi,30,SÌ£o Paulo,"Rua Treze de Maio, 668, Bela Vista, SÌ£o Paulo 01327000","Bela Vista, Centro","Bela Vista, Centro, SÌ£o Paulo",-46.64633333,-23.559,"Steak, BBQ",250,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,17
6711179,Gopala Hari,30,SÌ£o Paulo,"Rua Antonio Carlos, 429, ConsolaÌ_Ì£o, SÌ£o Paulo",ConsolaÌ_Ì£o,"ConsolaÌ_Ì£o, SÌ£o Paulo",-46.65866667,-23.55616667,Indian,70,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,5
6702797,Jiquitaia,30,SÌ£o Paulo,"Rua AntÌ«nio Carlos, 268, ConsolaÌ_Ì£o, SÌ£o Paulo",ConsolaÌ_Ì£o,"ConsolaÌ_Ì£o, SÌ£o Paulo",-46.657523,-23.55671,Brazilian,100,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,15
6700475,Skye - Hotel Unique,30,SÌ£o Paulo,"Hotel Unique, Avenida Brigadeiro LuÌ_s AntÌ«nio, 4700, Jardim Paulista, SÌ£o Paulo","Hotel Unique, Jardim Paulista","Hotel Unique, Jardim Paulista, SÌ£o Paulo",-46.666851,-23.581688,"Beverages, International",300,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59
6713413,Les 3 Brasseurs,30,SÌ£o Paulo,"Rua JesuÌ_no Arruda, 470, Itaim Bibi, SÌ£o Paulo",Itaim Bibi,"Itaim Bibi, SÌ£o Paulo",-46.67511,-23.582135,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30
6714340,Red Steak & Burger,30,SÌ£o Paulo,"Rua TabapuÌ£, 1417, Itaim Bibi, SÌ£o Paulo",Itaim Bibi,"Itaim Bibi, SÌ£o Paulo",-46.683888,-23.585324,"Brazilian, Grill",75,Brazilian Real(R$),No,No,No,No,3,3.9,Yellow,Good,5
6710645,Cantinho da Gula,30,SÌ£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, SÌ£o Paulo, SP",Itaim Bibi,"Itaim Bibi, SÌ£o Paulo",-46.67566667,-23.581,Brazilian,55,Brazilian Real(R$),No,No,No,No,2,0,White,Not rated,0
6700402,Paris 6 Classique,30,SÌ£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira CÌ©sar, Jardim Paulista, SÌ£o Paulo",Jardim Paulista,"Jardim Paulista, SÌ£o Paulo",-46.666041,-23.561568,French,200,Brazilian Real(R$),No,No,No,No,4,3.4,Orange,Average,73
6700846,Kawa Sushi,30,SÌ£o Paulo,"Alameda Lorena, 300, Jardim Paulista, SÌ£o Paulo",Jardim Paulista,"Jardim Paulista, SÌ£o Paulo",-46.657418,-23.571638,"Sushi, Japanese",120,Brazilian Real(R$),No,No,No,No,4,3.5,Yellow,Good,9
6702159,A Figueira Rubaiyat,30,SÌ£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira CÌ©sar, Jardim Paulista, SÌ£o Paulo 10000",Jardim Paulista,"Jardim Paulista, SÌ£o Paulo",-46.66983333,-23.5655,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39
6711666,Kinoshita,30,SÌ£o Paulo,"Rua Jacques FÌ©lix, 405, Vila Nova ConceiÌ_Ì£o, Moema, SÌ£o Paulo",Moema,"Moema, SÌ£o Paulo",-46.67133333,-23.59233333,Sushi,230,Brazilian Real(R$),No,No,No,No,4,3.9,Yellow,Good,12
6701257,Meats,30,SÌ£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, SÌ£o Paulo",Pinheiros,"Pinheiros, SÌ£o Paulo",-46.68133333,-23.56483333,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,68
6706211,Paribar,30,SÌ£o Paulo,"PraÌ_a Dom JosÌ© Gaspar, 42, RepÌ_blica, SÌ£o Paulo 10000",RepÌ_blica,"RepÌ_blica, SÌ£o Paulo",-46.64159444,-23.54664167,"Brazilian, Italian",150,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,46
6705858,TerraÌ_o ItÌÁlia,30,SÌ£o Paulo,"EdifÌ_cio ItÌÁlia - 41å¡ Andar, Avenida Ipiranga, 344, RepÌ_blica, SÌ£o Paulo",RepÌ_blica,"RepÌ_blica, SÌ£o Paulo",-46.643425,-23.545163,Italian,400,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,37
6701419,Divino FogÌ£o,30,SÌ£o Paulo,"Shopping MetrÌ« Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, SÌ£o Paulo","Shopping MetrÌ« Santa Cruz, Vila Mariana","Shopping MetrÌ« Santa Cruz, Vila Mariana, SÌ£o Paulo",-46.63716667,-23.5995,"Brazilian, Mineira",65,Brazilian Real(R$),No,No,No,No,3,0,White,Not rated,2
6703956,Super Grill,30,SÌ£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni JÌ_nior, 1089, Santo Amaro, SÌ£o Paulo","Shopping Morumbi, Santo Amaro","Shopping Morumbi, Santo Amaro, SÌ£o Paulo",-46.698574,-23.622925,Brazilian,50,Brazilian Real(R$),No,No,No,No,2,0,White,Not rated,2
6709580,Esquina MocotÌ_,30,SÌ£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, SÌ£o Paulo",Vila Maria,"Vila Maria, SÌ£o Paulo",-46.581672,-23.486535,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,22
6703176,Veloso,30,SÌ£o Paulo,"Rua ConceiÌ_Ì£o Veloso, 56, Vila Mariana, SÌ£o Paulo",Vila Mariana,"Vila Mariana, SÌ£o Paulo",-46.63566667,-23.58516667,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,58
6713772,Sainte Marie Gastronomia,30,SÌ£o Paulo,"Rua Dom JoÌ£o Batista da Costa, 70, Vila SÌ«nia, SÌ£o Paulo",Vila SÌ«nia,"Vila SÌ«nia, SÌ£o Paulo",-46.746958,-23.609207,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,11
16611114,Whitebull Hotel,14,Armidale,"117 Marsh St, Armidale, NSW",Armidale,"Armidale, Armidale",151.6688792,-30.5147169,"Bar Food, Steak",20,Dollar($),No,No,No,No,2,3.5,Yellow,Good,25
16608864,Taste of Balingup,14,Balingup,"63 South Western Hwy, Balingup, WA",Balingup,"Balingup, Balingup",115.9844924,-33.7845269,Modern Australian,20,Dollar($),No,No,No,No,2,3.2,Orange,Average,21
16604911,Bridge Road Brewers,14,Beechworth,"Old Coach House 50 Ford St, Beechworth, Beechworth, VIC",Beechworth,"Beechworth, Beechworth",146.685852,-36.360439,"Pizza, Bar Food",20,Dollar($),No,No,No,No,2,4.6,Dark Green,Excellent,237
17303465,Bardenay,216,Boise,"610 W Grove St, Boise, ID 83702",Boise,"Boise, Boise",-116.2019,43.6138,"American, Bar Food",25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,879
17303642,Flatbread Neapolitan Pizzeria,216,Boise,"800 W Main Suite 230, Boise, ID 83702",Boise,"Boise, Boise",-116.203466,43.616068,"Italian, Pizza",25,Dollar($),No,No,No,No,2,4.6,Dark Green,Excellent,615
